date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:33	10444/10444	---M--	200	added ('OK')	font/woff2	etag:W/%2228cc-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-cyrillic-400-normal.56c46158.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-cyrillic-400-normal.56c46158.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:34	9616/9616	---M--	200	added ('OK')	font/woff	etag:W/%222590-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-cyrillic-400-normal.93f2ed2b.woff	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-cyrillic-400-normal.93f2ed2b.woff	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:34	7860/7860	---M--	200	added ('OK')	font/woff2	etag:W/%221eb4-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-greek-400-normal.35485f72.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-greek-400-normal.35485f72.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:36	7276/7276	---M--	200	added ('OK')	font/woff	etag:W/%221c6c-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-greek-400-normal.111ad2b5.woff	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-greek-400-normal.111ad2b5.woff	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:37	6624/6624	---M--	200	added ('OK')	font/woff2	etag:W/%2219e0-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-vietnamese-400-normal.1764877f.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-vietnamese-400-normal.1764877f.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:38	6156/6156	---M--	200	added ('OK')	font/woff	etag:W/%22180c-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-vietnamese-400-normal.150fd4b0.woff	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-vietnamese-400-normal.150fd4b0.woff	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:39	15724/15724	---M--	200	added ('OK')	font/woff2	etag:W/%223d6c-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-latin-ext-400-normal.06159238.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-latin-ext-400-normal.06159238.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:40	13888/13888	---M--	200	added ('OK')	font/woff	etag:W/%223640-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-latin-ext-400-normal.9c6c72a8.woff	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-latin-ext-400-normal.9c6c72a8.woff	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:41	19156/19156	---M--	200	added ('OK')	font/woff2	etag:W/%224ad4-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-latin-400-normal.e5b81454.woff2	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-latin-400-normal.e5b81454.woff2	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
15:06:41	17864/17864	---M--	200	added ('OK')	font/woff	etag:W/%2245c8-18a74a16d78%22	https://platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-latin-400-normal.36f1a382.woff	C:/My%20Web%20Sites/arkham/platform.arkhamintelligence.com/_next/static/media/ibm-plex-sans-latin-400-normal.36f1a382.woff	(from https://platform.arkhamintelligence.com/_next/static/css/ec9dd528f8e5c16b.css)
